Order in the DSM-5,DSM-5 Chapter,DSM-5 Disorder,Constituent symptom (wording from DSM-5),Unique symptom number (index for duplicate symptoms; sort by this column to see the groups of symptoms that have been coded as redundant),"Specifier ( 0 = primary diagnosis, 1 = specifier)","Repeats at all (0 = no, 1 = yes)","Repeats within a chapter (0=no, 1=yes)",Number of diagnoses symptom appears in (count),"Repeats between chapters (0=no, 1=yes)",Number of chapters symptom appears in (count)
391,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,"Mannerism (ie, odd, circumstantial caricature of normal actions)",597,1,1,0,4,1,4
392,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,"Stereotypy (ie, repetitive, abnormally frequent, non-goal-directed movements) ",40,1,1,1,9,1,7
393,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,Agitation,612,1,1,1,6,1,5
394,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,Grimacing,65.1,1,1,0,4,1,4
395,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,"Echolalia (ie, mimicking another’s speech) ",41,1,1,1,6,1,5
396,Ch4 - Depressive Disorders,Specifiers for Depressive disorders - With catatonia,"Echopraxia (ie, mimicking another’s movements)",584,1,1,0,4,1,4
397,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Recurrent excessive distress when anticipating or experiencing separation from home or major attachment figures,77,0,1,0,2,1,2
398,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,"Persistent and excessive worry about losing major attachment figures or about possible harm to them, such as illness, injury, disasters, or death",78,0,0,0,1,0,1
399,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,"Persistent and excessive worry about experiencing an untoward event (eg, getting lost, being kidnapped, having an accident, becoming ill) that causes separation from a major attachment figure",79,0,0,0,1,0,1
400,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,"Persistent reluctance or refusal to go out, away from home, to school, to work, or elsewhere because of fear of separation",329,0,0,0,1,0,1
401,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Persistent and excessive fear of or reluctance about being alone,330,0,1,0,2,1,2
402,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Persistent and excessive fear of or reluctance about being without major attachment figures at home or in other settings,331,0,0,0,1,0,1
403,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Persistent reluctance or refusal to sleep away from home,332,0,0,0,1,0,1
404,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Persistent reluctance or refusal to go to sleep without being near a major attachment figure,333,0,0,0,1,0,1
405,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,Repeated nightmares involving the theme of separation,80,0,0,0,1,0,1
406,Ch5 - Anxiety Disorders,Separation Anxiety Disorder,"Repeated complaints of physical symptoms (eg, headaches, stomachaches, nausea, vomiting) when separation from major attachment figures occurs or is anticipated",81,0,0,0,1,0,1
407,Ch5 - Anxiety Disorders,Selective Mutism,"Consistent failure to speak in specific social situations in which there is an expectation for speaking (eg, at school) despite speaking in other situations",334,0,0,0,1,0,1
408,Ch5 - Anxiety Disorders,Specific Phobia,"Marked fear or anxiety about a specific object or situation (eg, flying, heights, animals, receiving an injection, seeing blood, spiders, insects, dogs, heights, storms, water, needles, invasive medical procedures, airplanes, elevators, enclosed places, situations that may lead to choking or vomiting; in children, loud sounds or costumed characters)",82,0,0,0,1,0,1
409,Ch5 - Anxiety Disorders,Specific Phobia,The phobic object or situation is actively avoided,83,0,0,0,1,0,1
410,Ch5 - Anxiety Disorders,Specific Phobia,The phobic object or situation is endured with intense fear or anxiety,84,0,0,0,1,0,1
411,Ch5 - Anxiety Disorders,Social Anxiety Disorder (Social Phobia),"Marked fear or anxiety about one or more social situations in which the individual is exposed to possible scrutiny by others Examples include social interactions (eg, having a conversation, meeting unfamiliar people), being observed (eg, eating or drinking), and performing in front of others (eg, giving a speech)",564,0,1,0,2,1,2
412,Ch5 - Anxiety Disorders,Social Anxiety Disorder (Social Phobia),Fear of speaking or performing in public,217,0,1,0,2,1,2
413,Ch5 - Anxiety Disorders,Social Anxiety Disorder (Social Phobia),"The individual fears that he or she will act in a way or show anxiety symptoms that will be negatively evaluated (ie, will be humiliating or embarrassing; will lead to rejection or offend others)",335,0,1,1,3,1,2
414,Ch5 - Anxiety Disorders,Social Anxiety Disorder (Social Phobia),Social situations are avoided,585,0,1,0,2,1,2
415,Ch5 - Anxiety Disorders,Social Anxiety Disorder (Social Phobia),Social situations are endured with intense fear or anxiety,85,0,0,0,1,0,1
416,Ch5 - Anxiety Disorders,Panic Disorder,Unexpected panic attacks (surge of intense fear or intense discomfort that reaches a peak within minutes),336,0,0,0,1,0,1
417,Ch5 - Anxiety Disorders,Panic Disorder,Palpitations,337,0,1,0,2,1,2
418,Ch5 - Anxiety Disorders,Panic Disorder,Pounding heart,338,0,0,0,1,0,1
419,Ch5 - Anxiety Disorders,Panic Disorder,Accelerated heart rate,339,0,1,1,8,1,2
420,Ch5 - Anxiety Disorders,Panic Disorder,Sweating,340,0,1,1,7,1,2
421,Ch5 - Anxiety Disorders,Panic Disorder,Trembling or shaking,389,0,1,1,8,1,4
422,Ch5 - Anxiety Disorders,Panic Disorder,Sensations of shortness of breath,342,0,0,0,1,0,1
423,Ch5 - Anxiety Disorders,Panic Disorder,Sensations of smothering,664,0,0,0,1,0,1
424,Ch5 - Anxiety Disorders,Panic Disorder,Feelings of choking,343,0,0,0,1,0,1
425,Ch5 - Anxiety Disorders,Panic Disorder,Chest pain or discomfort,344,0,1,0,2,1,2
426,Ch5 - Anxiety Disorders,Panic Disorder,Nausea,345,0,1,1,7,1,3
427,Ch5 - Anxiety Disorders,Panic Disorder,Abdominal distress,346,0,1,0,3,1,3
428,Ch5 - Anxiety Disorders,Panic Disorder,"Feeling dizzy, light-headed, or faint",347,0,1,0,2,1,2
429,Ch5 - Anxiety Disorders,Panic Disorder,Feeling unsteady,634,0,0,0,1,0,1
430,Ch5 - Anxiety Disorders,Panic Disorder,Chills,348,0,1,1,3,1,2
431,Ch5 - Anxiety Disorders,Panic Disorder,Heat sensations,349,0,0,0,1,0,1
432,Ch5 - Anxiety Disorders,Panic Disorder,Paresthesias (numbness or tingling sensations),350,0,0,0,1,0,1
433,Ch5 - Anxiety Disorders,Panic Disorder,Depersonalization (being detached from oneself),351,0,1,1,6,1,5
434,Ch5 - Anxiety Disorders,Panic Disorder,Derealization (feelings of unreality),591,0,1,1,6,1,4
435,Ch5 - Anxiety Disorders,Panic Disorder,"Fear of losing control or ""going crazy""",306,0,1,0,4,1,4
436,Ch5 - Anxiety Disorders,Panic Disorder,Fear of dying,352,0,0,0,1,0,1
437,Ch5 - Anxiety Disorders,Panic Disorder,"Persistent concern or worry about additional panic attacks or their consequences (eg, losing control, having a heart attack, “going crazy”)",353,0,0,0,1,0,1
438,Ch5 - Anxiety Disorders,Panic Disorder,"A significant maladaptive change in behavior related to the attacks (eg, behaviors designed to avoid having panic attacks, such as avoidance of exercise or unfamiliar situations)",86,0,0,0,1,0,1
439,Ch5 - Anxiety Disorders,Agoraphobia,"Marked fear or anxiety about using public transportation (eg, automobiles, buses, trains, ships, planes)",354,0,0,0,1,0,1
440,Ch5 - Anxiety Disorders,Agoraphobia,"Marked fear or anxiety about being in open spaces (eg, parking lots, marketplaces, bridges)",355,0,0,0,1,0,1
441,Ch5 - Anxiety Disorders,Agoraphobia,"Marked fear or anxiety about being in enclosed places (eg, shops, theaters, cinemas)",356,0,0,0,1,0,1
442,Ch5 - Anxiety Disorders,Agoraphobia,Marked fear or anxiety about standing in line,357,0,0,0,1,0,1
443,Ch5 - Anxiety Disorders,Agoraphobia,Marked fear or anxiety about being in a crowd,358,0,0,0,1,0,1
444,Ch5 - Anxiety Disorders,Agoraphobia,Marked fear or anxiety being outside of the home alone,359,0,0,0,1,0,1
445,Ch5 - Anxiety Disorders,Agoraphobia,"The individual has thoughts that escape might be difficult or help might not be available in the event of developing paniclike symptoms or other incapacitating or embarrassing symptoms (eg, fear of falling in the elderly; fear of incontinence)",87,0,0,0,1,0,1
446,Ch5 - Anxiety Disorders,Agoraphobia,The agoraphobic situations are feared or actively avoided,88,0,0,0,1,0,1
447,Ch5 - Anxiety Disorders,Agoraphobia,The agoraphobic situations require the presence of a companion,89,0,0,0,1,0,1
448,Ch5 - Anxiety Disorders,Agoraphobia,The agoraphobic situations are endured with intense fear or anxiety,90,0,0,0,1,0,1
449,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Anxiety and worry (apprehensive expectation) about a number of events or activities (such as work or school performance),633,0,1,0,4,1,4
450,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Difficulty controlling the worry,360,0,0,0,1,0,1
451,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Restlessness,276,0,1,1,10,1,7
452,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Feeling keyed up or on edge,304,0,1,1,4,1,3
453,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Easily fatigued,662,0,1,1,12,1,6
454,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Difficulty concentrating,70,0,1,1,17,1,7
455,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Mind going blank,361,0,0,0,1,0,1
456,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Irritability,291,0,1,1,16,1,8
457,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Muscle tension,327,0,1,1,5,1,4
458,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,Difficulty falling or staying asleep,301,0,1,1,22,1,8
459,Ch5 - Anxiety Disorders,Generalized Anxiety Disorder,"Restless, unsatisfying sleep",567,0,1,1,5,1,3
460,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,"Recurrent and persistent thoughts, urges, or images that are experienced as intrusive or unwanted",92,0,0,0,1,0,1
461,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,"The individual attempts to ignore or suppress such thoughts, urges, or images",93,0,0,0,1,0,1
462,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,"The individual attempts to neutralize such thoughts, urges, or images with some other thought or action (ie, by performing a compulsion)",94,0,1,1,3,1,2
463,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,"Repetitive behaviours (eg, hand washing, ordering, checking) that the individual feels driven to perform in response to an obsession or according to rules that must be applied rigidly aimed at preventing or reducing anxiety or distress, or preventing some dreaded event or situation",682,0,0,0,1,0,1
464,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,"Repetitive mental acts (eg, praying, counting, repeating words silently) that the individual feels driven to perform in response to an obsession or according to rules that must be applied rigidly aimed at preventing or reducing anxiety or distress, or preventing some dreaded event or situation",682.1,0,0,0,1,0,1
465,Ch6 - Obsessive-Compulsive and Related Disorders,Obsessive-Compulsive disorder,The obsessions or compulsions are time-consuming ,1000,0,0,0,1,0,1
466,Ch6 - Obsessive-Compulsive and Related Disorders,"Obsessive-Compulsive disorder - with good or fair insight, poor insight, absent insight/delusional beliefes",The individual is completely convinced that obsessive-compulsive disorder beliefs are true (level of insight),95,1,0,0,1,0,1
467,Ch6 - Obsessive-Compulsive and Related Disorders,Body Dysmorphic Disorder,Preoccupation with one or more perceived defects or flaws in physical appearance that are not observable or appear slight to others,96,0,0,0,1,0,1
468,Ch6 - Obsessive-Compulsive and Related Disorders,Body Dysmorphic Disorder,"Repetitive behaviors (eg, mirror checking, excessive grooming, skin picking, reassurance seeking) in response to the appearance concerns",97,0,0,0,1,0,1
469,Ch6 - Obsessive-Compulsive and Related Disorders,Body Dysmorphic Disorder,"Preoccupation or repetitive mental acts (eg, comparing his or her appearance with that of others) in response to the appearance concerns",363,0,0,0,1,0,1
470,Ch6 - Obsessive-Compulsive and Related Disorders,Body Dysmorphic Disorder - With muscle dysmorphia,The individual is preoccupied with the idea that his or her body build is too small or insufficiently muscular,98,1,0,0,1,0,1
471,Ch6 - Obsessive-Compulsive and Related Disorders,"Body Dysmorphic Disorder - with good or fair insight, poor insight, absent insight/delusional beliefes",The individual is completely convinced that the body dysmorphic disorder beliefs are true (level of insight),364,1,0,0,1,0,1
472,Ch6 - Obsessive-Compulsive and Related Disorders,Hoarding Disorder,"Persistent difficulty or distress associated with discarding or parting with possessions, regardless of their actual value",99,0,1,0,3,1,3
473,Ch6 - Obsessive-Compulsive and Related Disorders,Hoarding Disorder,A perceived need to save items or distress associated with discarding them,365,0,0,0,1,0,1
474,Ch6 - Obsessive-Compulsive and Related Disorders,Hoarding Disorder,Accumulation of possessions that congest and clutter active living areas and substantially compromises their intended use,100,0,0,0,1,0,1
475,Ch6 - Obsessive-Compulsive and Related Disorders,Hoarding Disorder - With excessive acquisition,Acquisition of items that are not needed or for which there is no available space,683,1,0,0,1,0,1
476,Ch6 - Obsessive-Compulsive and Related Disorders,"Hoarding Disorder - with good or fair insight, poor insight, absent insight/delusional beliefes","The individual is completely convinced that hoarding-related beliefs and behaviors (pertaining to difficulty discarding items, clutter, or excessive acquisition) are not problematic despite evidence to the contrary (level of insight)",101,1,0,0,1,0,1
477,Ch6 - Obsessive-Compulsive and Related Disorders,Trichotillomania (Hair-Pulling Disorder),"Recurrent pulling out of one’s hair, resulting in hair loss",366,0,0,0,1,0,1
478,Ch6 - Obsessive-Compulsive and Related Disorders,Trichotillomania (Hair-Pulling Disorder),Repeated attempts to decrease or stop hair pulling,367,0,0,0,1,0,1
479,Ch6 - Obsessive-Compulsive and Related Disorders,Excoriation (Skin-Picking) Disorder,Recurrent skin picking resulting in skin lesions,368,0,0,0,1,0,1
480,Ch6 - Obsessive-Compulsive and Related Disorders,Excoriation (Skin-Picking) Disorder,Repeated attempts to decrease or stop skin picking,369,0,0,0,1,0,1
481,Ch6 - Obsessive-Compulsive and Related Disorders,Other Specified Obsessive-Compulsive and Related Disorder - Body-focused repetitive behavior disorder,"Recurrent body-focused repetitive behaviors (eg, nail biting, lip biting, cheek chewing)",370,1,0,0,1,0,1
482,Ch6 - Obsessive-Compulsive and Related Disorders,Other Specified Obsessive-Compulsive and Related Disorder - Body-focused repetitive behavior disorder,Repeated attempts to decrease or stop the behaviors,371,1,0,0,1,0,1
483,Ch6 - Obsessive-Compulsive and Related Disorders,Other Specified Obsessive-Compulsive and Related Disorder - Obsessional jealousy,Nondelusional preoccupation with a partner’s perceived infidelity,103,1,0,0,1,0,1
484,Ch6 - Obsessive-Compulsive and Related Disorders,Other Specified Obsessive-Compulsive and Related Disorder - Obsessional jealousy,Repetitive behaviors or mental acts in response to infidelity concerns,94,1,1,1,3,1,2
485,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Recurrent, involuntary, and intrusive distressing memories of the traumatic event(s)",599,0,1,1,2,0,1
486,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Recurrent distressing dreams in which the content and/or affect of the dream are related to the traumatic event(s),593,0,1,1,2,0,1
487,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Dissociative reactions (eg, flashbacks) in which the individual feels or acts as if the traumatic event(s) were recurring (Such reactions may occur on a continuum, with the most extreme expression being a complete loss of awareness of present surroundings)",372,0,1,1,2,0,1
488,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Intense or prolonged psychological distress at exposure to internal or external cues that symbolize or resemble an aspect of the traumatic event(s),104,0,1,1,2,0,1
489,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Marked physiological reactions to internal or external cues that symbolize or resemble an aspect of the traumatic event(s),105,0,1,1,2,0,1
490,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Avoidance of or efforts to avoid distressing memories, thoughts, or feelings about or closely associated with the traumatic event(s)",106,0,1,1,2,0,1
491,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Avoidance of or efforts to avoid external reminders (people, places, conversations, activities, objects, situations) that arouse distressing memories, thoughts, or feelings about or closely associated with the traumatic event(s)",107,0,1,1,2,0,1
492,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Inability to remember an important aspect of the traumatic event(s),573,0,1,1,4,1,2
493,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent and exaggerated negative beliefs about oneself (eg, “I am bad,” “My whole nervous system is permanently ruined”), beginning or worsening after the traumatic event(s) occurred",373,0,0,0,1,0,1
494,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent and exaggerated negative beliefs about others (eg, “No one can be trusted,”), beginning or worsening after the traumatic event(s) occurred",374,0,0,0,1,0,1
495,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent and exaggerated negative beliefs about the world (eg, ""The world is completely dangerous”), beginning or worsening after the traumatic event(s) occurred",375,0,0,0,1,0,1
496,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent, distorted cognitions about the cause or consequences of the traumatic event(s)",108,0,0,0,1,0,1
497,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,The invidual blames themselves or others for the causes or consequences of the traumatic event(s),900,0,0,0,1,0,1
498,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent negative emotional state (eg, fear, horror, anger, guilt, or shame ",109,0,0,0,1,0,1
499,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Diminished interest in significant activities,296,0,1,1,7,1,4
500,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Markedly diminished participation in significant activities, beginning or worsening after a traumatic event(s) occurred",650,0,1,1,3,1,2
501,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Feelings of detachment or estrangement from others,376,0,1,0,2,1,2
502,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Persistent inability to experience positive emotions (eg, inability to experience happiness, satisfaction, or loving feelings), beginning or worsening after the traumatic event(s) occurred",111,0,1,1,2,0,1
503,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Irritable behavior,291,0,1,1,16,1,8
504,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Angry outbursts (with little or no provocation),658,0,1,1,2,0,1
505,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Verbal aggression toward people or objects,315,0,1,1,5,1,3
506,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Physical aggression toward people or objects,72,0,1,1,7,1,4
507,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Reckless behavior,68,0,1,1,5,1,4
508,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Self-destructive behavior, beginning or worsening after the traumatic event(s) occurred",112,0,0,0,1,0,1
509,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Hypervigilance,600,0,1,1,3,1,2
510,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Exaggerated startle response, beginning or worsening after the traumatic event(s) occurred",113,0,1,1,2,0,1
511,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Problems with concentration,70,0,1,1,17,1,7
512,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,Difficulty falling or staying asleep,301,0,1,1,22,1,8
513,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder,"Restless, unsatisfying sleep",567,0,1,1,5,1,3
514,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder - With dissociative symptoms,"Depersonalization: Experiences of feeling detached from, and as if one were an outside observer of one’s mental processes or body (eg, feeling as though one were in a dream; feeling a sense of unreality of self, or of time moving slowly)",351,1,1,1,6,1,5
515,Ch7 - Trauma- and Stressor-Related Disorders,Posttraumatic Stress Disorder - With dissociative symptoms,"Derealization: Experiences of unreality of surroundings (eg, the world around the individual is experienced as unreal, dreamlike, distant, or distorted)",591,1,1,1,6,1,4
516,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"Involuntary, and intrusive distressing memories of the traumatic event(s)",599,0,1,1,2,0,1
517,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Distressing dreams in which the content and/or affect of the dream are related to the traumatic event(s) ,593,0,1,1,2,0,1
518,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"Dissociative reactions (eg, flashbacks) in which the individual feels or acts as if the traumatic event(s) were recurring",372,0,1,1,2,0,1
519,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Psychological distress about reminders of a traumatic event(s),104,0,1,1,2,0,1
520,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Physiological reactions about reminders of a traumatic event(s),105,0,1,1,2,0,1
521,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"Inability to experience positive emotions (eg, inability to experience happiness, satisfaction, or loving feelings)",111,0,1,1,2,0,1
522,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"An altered sense of the reality of one’s surroundings or oneself (eg, seeing oneself from another’s perspective, being in a daze, time slowing)",591,0,1,1,6,1,4
523,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Inability to remember an important aspect of the traumatic event(s),573,0,1,1,4,1,2
524,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"Efforts to avoid distressing memories, thoughts, or feelings about or closely associated with the traumatic event(s)",106,0,1,1,2,0,1
525,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,"Efforts to avoid external reminders (people, places, conversations, activities, objects, situations) that arouse distressing memories, thoughts, or feelings about or closely associated with the traumatic event(s)",107,0,1,1,2,0,1
526,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Difficulty falling or staying asleep,301,0,1,1,22,1,8
527,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Restless sleep,567,0,1,1,5,1,3
528,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Irritable behavior,291,0,1,1,16,1,8
529,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Angry outbursts (with little or no provocation),658,0,1,1,2,0,1
530,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Verbal aggression toward people or objects,315,0,1,1,5,1,3
531,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Physical aggression toward people or objects,72,0,1,1,7,1,4
532,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Hypervigilance,600,0,1,1,3,1,2
533,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Problems with concentration,70,0,1,1,17,1,7
534,Ch7 - Trauma- and Stressor-Related Disorders,Acute Stress Disorder,Exaggerated startle response,113,0,1,1,2,0,1
535,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Low mood,295,0,1,1,15,1,6
536,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Tearfulness,377,0,0,0,1,0,1
537,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Feelings of hopelessness,319,0,1,1,3,1,2
538,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Nervousness,321,0,1,1,12,1,4
539,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Worry,633,0,1,0,4,1,4
540,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Jitteriness,276,0,1,1,10,1,7
541,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Emotional symptoms (symptoms from specifiers): Separation anxiety,77,0,1,0,2,1,2
542,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Often initiates physical fights,165,0,1,1,5,1,4
543,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has stolen items of nontrivial value without confronting a victim (eg, shoplifting, but without breaking and entering; forgery)",166,0,1,0,3,1,3
544,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Often bullies, threatens, or intimidates others",435,0,1,0,2,1,2
545,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has used a weapon that can cause serious physical harm to others (eg, a bat, brick, broken bottle, knife, gun)",436,0,1,0,3,1,3
546,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has been physically cruel to people,437,0,1,0,2,1,2
547,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has been physically cruel to animals,438,0,1,0,3,1,3
548,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has stolen while confronting a victim (eg, mugging, purse snatching, extortion, armed robbery)",439,0,1,0,3,1,3
549,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has broken into someone else’s house, building, or car",440,0,1,0,3,1,3
550,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Often lies to avoid obligations (ie, “cons” others)",441,0,1,0,2,1,2
551,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,"Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Often lies to obtain goods or favors (ie, “cons” others)",442,0,1,0,3,1,3
552,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has forced someone into sexual activity,576,0,1,0,3,1,3
553,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has deliberately engaged in fire setting with the intention of causing serious damage,577,0,1,1,4,1,3
554,Ch7 - Trauma- and Stressor-Related Disorders,Adjustment Disorders,Behavioral symptoms (symptoms coded for 'Disturbance of conduct'): Has deliberately destroyed others’ property,588,0,1,0,3,1,3
555,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Disruption of identity characterized by two or more distinct personality states,615,0,0,0,1,0,1
556,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Marked discontinuity in sense of self,382,0,0,0,1,0,1
557,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Marked discontinuity in sense of agency,563,0,0,0,1,0,1
558,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in affect,601,0,0,0,1,0,1
559,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in behavior,602,0,0,0,1,0,1
560,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in consciousness,603,0,0,0,1,0,1
561,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in memory,604,0,0,0,1,0,1
562,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in perception,605,0,0,0,1,0,1
563,Ch8 - Dissociative Disorders,Dissociative Identity Disorder,Alterations in cognition,606,0,0,0,1,0,1
